linha,coluna,faceReal,faceIntermed,arestaVertReal,arestaVertInter,arestaHorzReal,arestaHorzIntermed,vertReal,vertIntermed,,,Erro Face,,Erro arestaVert,,Erro arestaHorz,,Erro vert
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,14,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,15,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,16,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,17,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
4,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,9,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,14,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,15,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,16,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,17,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
5,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,9,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,14,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,15,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,16,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,17,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
6,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,9,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,14,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,15,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,16,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,17,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
7,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,9,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,14,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,15,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,16,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,17,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
8,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,9,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,14,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,15,107,0,0,0,0,0,0,0,,,100,,0,,0,,0
,16,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,17,141,0,0,0,0,0,0,0,,,100,,0,,0,,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
9,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,9,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,10,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,11,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,12,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,13,15,0,0,0,0,0,0,0,,,100,,0,,0,,0
,14,427,"532,422615",0,"59,158068",15,"236,632273",0,"59,158068",,,"24,6891370023419",,0,,"1477,54848666667",,0
,15,693,"952,486301",107,"529,159056",345,"423,327245",0,"105,831811",,,"37,4439106782107",,"394,541173831776",,"22,7035492753623",,0
,16,715,"343,847093",0,"147,36304",333,"147,36304",0,"49,121013",,,"51,9094974825175",,0,,"55,7468348348348",,0
,17,141,"54,7006",141,"46,886229",141,"15,628743",141,"15,628743",,,"61,2052482269503",,"66,7473553191489",,"88,915785106383",,"88,915785106383"
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
10,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,187,"1,370017",0,0,0,0,0,0,,,"99,2673705882353",,0,,0,,0
,9,167,"24,943936",0,0,117,"12,471968",0,0,,,"85,0635113772455",,0,,"89,3401982905983",,0
,10,167,"15,396507",0,0,167,"15,396507",0,0,,,"90,7805347305389",,0,,"90,7805347305389",,0
,11,50,0,0,0,50,0,0,0,,,100,,0,,100,,0
,12,169,0,0,0,50,0,0,0,,,100,,0,,100,,0
,13,162,"42,337144",1,"7,056191",119,"7,056191",0,0,,,"73,8659604938272",,"605,6191",,"94,0704277310924",,0
,14,690,"867,794736",127,"130,16921",78,"347,117895",1,"43,389737",,,"25,7673530434783",,"2,49544094488188",,"345,022942307692",,"4238,9737"
,15,1527,"1484,301933",552,"556,613225",538,"742,150966",85,"185,537742",,,"2,79620609037328",,"0,835729166666677",,"37,9462762081784",,"118,279696470588"
,16,1418,"1822,276702",715,"911,138351",1108,"911,138351",467,"455,569175",,,"28,5103456981664",,"27,4319372027972",,"17,7672968411552",,"2,44771413276232"
,17,601,"85,108626",141,"28,369542",601,"28,369542",141,"9,456514",,,"85,8388309484193",,"79,8797574468085",,"95,2796103161398",,"93,2932524822695"
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
11,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,343,"49,613825",187,"19,84553",0,0,0,0,,,"85,5353279883382",,"89,3874171122995",,0,,0
,9,609,"1550,936306",117,"155,093631",325,"620,374522",117,"155,093631",,,"154,669344170772",,"32,558658974359",,"90,8844683076923",,"32,558658974359"
,10,429,"853,235765",167,"243,781647",263,"487,563294",117,"121,890824",,,"98,8894557109557",,"45,9770341317365",,"85,3852828897339",,"4,18019145299145"
,11,111,0,50,0,111,0,50,0,,,100,,100,,100,,100
,12,169,0,169,0,50,0,50,0,,,100,,100,,100,,100
,13,301,"696,999593",95,"232,333198",119,"232,333198",53,"77,444399",,,"131,561326578073",,"144,561261052632",,"95,237981512605",,"46,1215075471698"
,14,969,"1796,45826",109,"472,752174",122,"472,752174",24,"94,550435",,,"85,3930092879257",,"333,717590825688",,"287,501781967213",,"293,960145833333"
,15,2383,"3994,749874",975,"1815,795397",392,"1452,636318",272,"726,318159",,,"67,63532832564",,"86,2354253333333",,"270,570489285714",,"167,028734926471"
,16,1854,"2199,892781",522,"599,970758",1479,"999,951264",522,"399,980506",,,"18,6565685544768",,"14,9369268199234",,"32,3900430020284",,"23,3753819923372"
,17,154,"20,260297",0,"6,753432",154,"9,004576",0,"4,502288",,,"86,843962987013",,0,,"94,1528727272727",,0
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
12,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,4,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,5,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,6,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,7,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,8,70,"150,100572",57,"20,01341",0,"30,020114",0,0,,,"114,429388571429",,"64,8887543859649",,0,,0
,9,521,"623,070958",231,"207,690319",52,"166,152256",39,"41,538064",,,"19,5913547024952",,"10,090770995671",,"219,523569230769",,"6,50785641025641"
,10,758,"1366,619767",115,"210,249195",259,"525,622987",54,"105,124597",,,"80,2928452506596",,"82,8253869565217",,"102,943238223938",,"94,6751796296296"
,11,495,"1085,302083",111,"310,086309",170,"465,129464",61,"155,043155",,,"119,252946060606",,"179,357035135135",,"173,605567058824",,"154,169106557377"
,12,522,"483,342281",50,"107,409396",232,"161,114094",50,"53,704698",,,"7,40569329501915",,"114,818792",,"30,5542698275862",,"7,409396"
,13,943,"1205,207622",91,"278,124836",129,"370,833115",60,"185,416557",,,"27,8056863202545",,"205,631687912088",,"187,467531007752",,"209,027595"
,14,1979,"3626,706751",460,"1208,90225",518,"1511,127813",184,"604,451125",,,"83,2595629610915",,"162,804836956522",,"191,723516023166",,"228,506046195652"
,15,2639,"6865,917121",1069,"3432,95856",1144,"3432,95856",112,"858,23964",,,"160,171167904509",,"221,137376987839",,"200,08379020979",,"666,285392857143"
,16,1080,"2045,105077",542,"454,467795",926,"454,467795",388,"227,233897",,,"89,3615812037037",,"16,1498533210332",,"50,9214044276458",,"41,434562628866"
,17,154,"4,907085",154,"1,635695",154,"1,308556",154,"0,327139",,,"96,8135811688312",,"98,9378603896104",,"99,1502883116883",,"99,7875720779221"
,18,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,19,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,20,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,21,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,22,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,23,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,24,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,25,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,26,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,27,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,28,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,29,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
13,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,1,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,2,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,3,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
